date_collecte,type_dimension,valeur_dimension,nombre_offres
2026-08-31,Competence,Règles de sécurité Informatique et Télécoms,1
2026-08-14,Competence,Gestion de bases de données biologiques,1
2026-08-14,Competence,Communiquer les résultats des études aux parties prenantes,30
2026-08-14,Competence,Réglementation applicable à son domaine d’activité,1
2026-08-31,Competence,Identifier les contraintes d'un projet,1
2026-08-31,Competence,Optimiser les performances des systèmes d'IA,22
2026-08-14,Competence,Traiter des données,4
2026-08-14,Competence,Effectuer le suivi technique des produits et leur évolution auprès des clients,1
2026-08-14,Competence,Réaliser un modèle de prévision,4
2026-08-31,Competence,Techniques de formation individuelle,1
2026-08-31,Competence,Optimiser l'utilisation des ressources cloud,2
2026-08-14,Competence,Gérer les campagnes publicitaires digitales,2
2026-08-14,Competence,Développer des modèles prédictifs pour l'analyse de données,14
2026-08-31,Competence,Conditionner des produits,1
2026-08-14,Competence,Exploiter des solutions de Data Science ou d'Intelligence Artificielle,4
2026-08-14,Competence,Communiquer auprès de ses interlocuteurs internes et externes,4
2026-08-31,Competence,Analyse de données client,1
2026-08-31,Competence,Identifier et interpréter les données et caractéristiques géographiques et analyser les résultats,1
2026-08-31,Competence,TypeScript / Node.js,1
2026-08-31,Competence,Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges,1
2026-08-31,Competence,Planifier des sessions de brainstorming pour l'innovation en données,2
2026-08-14,Competence,python,2
2026-08-14,Competence,Respecter la confidentialité des informations,1
2026-08-31,Competence,"Réaliser une étude de marché, évaluer le potentiel d'un produit ou service",3
2026-08-31,Competence,Intégrer des considérations éthiques dans l'analyse de données,2
2026-08-31,Competence,Elaborer une stratégie de résolution de problèmes,1
2026-08-14,Competence,"UniProt, PDB, NCBI/GenBank",1
2026-08-14,Competence,Collaborer avec les développeurs pour améliorer la qualité du logiciel,2
2026-08-14,Competence,Assurer la sécurité des pipelines de CI/CD,6
2026-08-31,Competence,Systèmes d'exploitation informatique,3
2026-08-31,Competence,Intégrer des outils IA/Data Science,4
2026-08-14,Competence,Mobiliser une vision stratégique et d'anticipation,1
2026-08-14,Competence,Relayer de l'information,2
2026-08-14,Competence,HTML,3
2026-08-14,Competence,Analyser les besoins informatiques,7
2026-08-14,Competence,Collaborer avec une équipe projet,6
2026-08-14,Competence,Vérifier la compatibilité des développements produits avec les spécifications,2
2026-08-31,Competence,Elaborer des solutions techniques et fonctionnelles,2
2026-08-31,Competence,"Conda, docker, nextflow, snakemake",1
2026-08-14,Competence,Système d'exploitation Linux,2
2026-08-14,Competence,Méthode AGILE,2
2026-08-14,Competence,Réaliser un diagnostic technique,1
2026-08-14,Competence,Tableur Utilisation experte,2
2026-08-31,Competence,C# ou C++,1
2026-08-31,Competence,"Evaluer, prévenir, et gérer les risques et la sécurité",1
2026-08-31,Competence,Concevoir l'ingénierie de formation et les séquences pédagogiques,2
2026-08-14,Competence,"Entretenir, nettoyer un espace, un lieu, un local",2
2026-08-14,Competence,Microsoft Azure,1
2026-08-14,Competence,Présenter et valoriser un produit ou un service,1
2026-08-31,Competence,Contrôle qualité et fiabilisation des données,1
2026-08-14,Competence,PostgreSQL,1
2026-08-14,Competence,GitHub,1
2026-08-15,Competence,Elaborer une stratégie de résolution de problèmes,1
2026-08-31,Competence,"ML/AI: scikit-learn, PyTorch, TensorFlow",1
2026-08-31,Competence,"Optimiser des algorithmes, une application informatique et mettre en oeuvre leur développement",3
2026-08-31,Competence,Gérer les versions de logiciels et leurs mises à jour,1
2026-08-31,Competence,Conduire des travaux d'études et de recherche,2
2026-08-31,Competence,"Piloter une démarche qualité, un processus d'amélioration continue",2
2026-08-31,Competence,frameworks IA,1
2026-08-14,Competence,"Structurer, synthétiser des informations",2
2026-08-14,Competence,Réaliser un montage son ou vidéo,1
2026-08-15,Competence,Recette sur applications web et mobiles,1
2026-08-31,Competence,"Analyser les besoins de l'entreprise en formation, en recrutement et en mobilité professionnelle",1
2026-08-14,Competence,Analyse de données de production,2
2026-08-14,Competence,Faciliter l'adoption de nouvelles technologies,1
2026-08-31,Competence,Concevoir des supports de communication et d'image,1
2026-08-14,Competence,MySQL,3
2026-08-14,Competence,Modéliser une base de données,3
2026-08-31,Competence,DRT modélisation calcul scientifique statistique et informatique,1
2026-08-31,Competence,Favoriser un environnement de travail collaboratif,1
2026-08-31,Competence,sql,1
2026-08-15,Competence,"Analyser les besoins de l'entreprise en formation, en recrutement et en mobilité professionnelle",1
2026-08-31,Competence,"Maîtrise d'un outil de gestion de flux (Kafka, Flink…)",4
2026-08-31,Competence,Diagnostiquer et résoudre les problèmes techniques du Cloud,1
2026-08-31,Competence,"Lire et interpréter des données et documents techniques, au besoin en anglais",1
2026-08-14,Competence,Analyser les risques de sécurité pour les systèmes informatiques,1
2026-08-15,Competence,Développer des stratégies pour l'intégration des systèmes,2
2026-08-31,Competence,Prévisions de ventes,1
2026-08-14,Competence,Proposer des solutions innovantes pour résoudre des problèmes techniques,1
2026-08-31,Competence,Piloter les fonctionnalités des équipements et systèmes de sécurité informatique,1
2026-08-31,Competence,Améliorer les processus de reporting financier,2
2026-08-31,Competence,Mise en place d'un RAG avec vectorisation,1
2026-08-31,Competence,Abilité à suivre des réglementations strictes,1
2026-08-14,Competence,Réseaux informatiques et télécoms,1
2026-08-31,Competence,Azure Cloud,1
2026-08-31,Competence,Azure DevOps,1
2026-08-31,Competence,Terraform,1
2026-08-14,Competence,Concevoir un plan d'analyse statistique,1
2026-08-14,Competence,Animer une démarche agile et innovante,1
2026-08-31,Competence,"Entretenir, nettoyer un produit ou du matériel",1
2026-08-14,Competence,Assurer la maintenance préventive et les améliorations des infrastructures numériques,1
2026-08-14,Competence,Python Django,1
2026-08-14,Competence,Mettre en place des solutions de sauvegarde et de récupération des données,2
2026-08-31,Competence,Documenter les procédures de sécurité,1
2026-08-14,Competence,Assurer la conformité réglementaire des solutions cloud,1
2026-08-31,Competence,dialogue avec des spécialistes d’autres discipline,1
2026-08-14,Competence,Régulation et instrumentation,1
2026-08-31,Competence,EXCEL Niveau Avancé TCD,1
2026-08-31,Competence,Maintenir son attention dans la durée,1
2026-08-31,Competence,Rédiger et élaborer des notices et fiches techniques,2
2026-08-15,Competence,Elaborer et suivre des tableaux de bord des incidents sécurité,1
2026-08-31,Competence,github,1
