competence_code,competence_libelle_rome,nombre_offres,codes_rome_distincts
109565,"Analyser les besoins de l'entreprise en formation, en recrutement et en mobilité professionnelle",3,2
121072,Anglais financier,1,1
492912,Connaissance des indicateurs de risque de blanchiment,1,1
106679,Changer ou réparer une pièce ou un ensemble défectueux,1,1
100822,Techniques d'usinage,1,1
300374,Présenter et valoriser un produit ou un service,1,1
122645,Concevoir un projet de santé,1,1
106979,Principe de fonctionnement d'un moteur diesel,1,1
487088,Utiliser des logiciels statistiques pour le traitement de données,2,1
404139,Mastère spécialisé expert big data engineer,4,1
485982,Promouvoir les méthodes pédagogiques innovantes,1,1
300188,"Rédiger un cahier des charges, des spécifications techniques",69,5
122112,Analyse de données de production,2,1
300126,Créer une documentation technique,1,1
123393,Gérer les campagnes publicitaires digitales,3,1
400451,Agir rapidement en cas de panne pour minimiser les interruptions,1,1
484475,Former les utilisateurs aux nouvelles technologies,1,1
100016,Gestes et postures de manutention,1,1
404156,DRT modélisation calcul scientifique statistique et informatique,1,1
120323,Modéliser une base de données,5,1
116397,Traiter des données,4,2
126141,Baliser les zones glissantes,1,1
300366,Recueillir et analyser les besoins client,7,3
123187,Evaluer la solvabilité d'un créditeur et les risques,1,1
300181,"Entretenir un équipement, une machine, une installation",2,2
402191,"Lire et interpréter des données et documents techniques, au besoin en anglais",1,1
300679,"Tester un logiciel, un système d'informations, une application",10,5
110150,Anglais technique,11,3
300579,Communiquer auprès de ses interlocuteurs internes et externes,5,3
300451,Relayer de l'information,2,1
403933,Garantir la confidentialité des informations,2,1
487128,Analyser les risques de sécurité pour les systèmes informatiques,1,1
300077,"Créer, élaborer et identifier des concepts innovants",2,2
126421,Effectuer le suivi technique des produits et leur évolution auprès des clients,1,1
480213,Architecture de solutions cloud,1,1
492631,Conception de tableaux de bord de gestion,2,1
100541,"Techniques de communication orales, écrites et numériques",3,2
501127,Collaborer avec des équipes pour intégrer des analyses,2,1
507032,Concevoir des solutions numériques adaptées au secteur de la santé,1,1
126285,Techniques de formation individuelle,1,1
300315,"Identifier et sélectionner des fournisseurs, sous-traitants, prestataires",1,1
508471,Gérer le budget alloué aux projets d'innovation,1,1
126422,Analyser les tendances du marché pour anticiper les besoins,1,1
123967,Rédiger le contenu d'un support de communication,1,1
117333,Attribuer un marché,1,1
482816,Communiquer avec les professionnels de santé pour collecter des informations,1,1
477130,Méthodes de clustering et classification,1,1
103070,Lecture de plans et de schémas,1,1
120347,Vérifier la conformité de fonctionnement et d'utilisation des systèmes d'information,1,1
106844,Règles de sécurité Informatique et Télécoms,1,1
499418,Veille concurrentielle sur le marché digital,3,1
490266,Etre en capacité de travailler en mode projets,1,1
404223,Elaborer et suivre des tableaux de bord des incidents sécurité,1,1
402226,Favoriser un environnement de travail collaboratif,1,1
483421,Planifier et coordonner les activités de projet CVC,1,1
121028,Planifier et suivre les échéances de projet,1,1
481843,Conformité et réglementations du cloud,1,1
124715,Supports de manutention,1,1
300199,"Développer un logiciel, un système d'informations, une application",14,2
508619,Implémenter des solutions d'IA dans des environnements de production,1,1
503739,Assurer le support technique de niveau avancé,3,1
400796,Vérifier la compatibilité des développements produits avec les spécifications,2,1
486963,Optimiser les performances des systèmes cloud,2,2
106362,Circuits hydrauliques,3,1
300452,"Collecter et analyser des données, des informations",4,3
109527,Adapter les outils de traitement statistique de données,59,2
493946,Développement de produits basés sur l'IA,3,1
300067,"Analyser, exploiter, structurer des données",85,5
480869,Machine Learning,2,1
300085,Conduire des travaux d'études et de recherche,6,2
404121,Data engineer,5,1
404167,Gérer et maitriser des bases de données (SQL/NoSQL),9,1
104536,Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation,1,1
513457,Utiliser l'anglais dans un contexte professionnel,5,3
109814,Réseaux informatiques et télécoms,1,1
503735,Proposer des améliorations pour les systèmes existants,1,1
508467,Développer des stratégies d'innovation adaptées aux besoins du marché,1,1
484119,Gérer les versions de logiciels et leurs mises à jour,2,1
300113,Concevoir des supports de communication et d'image,3,1
484408,Optimiser la visibilité des publications sur les réseaux sociaux,3,1
483667,Assurer une communication claire et efficace avec l'équipe,5,1
484914,Collaborer avec les développeurs pour améliorer la qualité du logiciel,2,1
400367,Analyser des données pour prendre des décisions stratégiques,6,3
300492,Actualiser régulièrement ses connaissances,4,3
402277,Rédiger et élaborer des notices et fiches techniques,2,1
501125,Concevoir des tableaux de bord pour le suivi des performances,2,1
115552,Gérer les droits d'accès des utilisateurs,2,1
484478,Développer des scripts pour automatiser les tâches,3,2
123012,Analyser la recevabilité d'une demande de crédit,1,1
120326,Recenser les besoins du commanditaire,1,1
117024,Proposer des améliorations pour augmenter l'efficacité des systèmes,2,2
300375,"Organiser, aménager un espace de vente",1,1
504455,Respecter les normes éthiques dans le développement de l'IA,1,1
125763,Installer le matériel et les équipements sur un lieu de tournage,1,1
122027,Définir l'implantation des éléments d'un équipement,1,1
522194,Analyser les écarts ou incohérences dans les données,1,1
491242,Ingénieur diplômé de l'école nationale supérieure d'informatique pour l'industrie et l'entreprise spécialité informatique,2,2
300114,Réaliser un montage son ou vidéo,1,1
482282,Encourager l'innovation responsable,1,1
300201,Intégrer des produits Data dans les processus métiers,1,1
114975,"Réaliser un dépannage sur site ou le remorquage d'un engin (engin de chantier, machine agricole, etc.)",1,1
119161,Identifier les contraintes d'un projet,1,1
101399,Marketing (mercatique),1,1
300185,Réaliser un diagnostic technique,2,2
109851,Gestion des configurations,1,1
404369,Piloter les étapes d'un projet agile et innovant,1,1
300664,Rédiger des documents d'ingénierie (rédaction des spécifications fonctionnelles et livrables techniques des solutions),3,1
485379,Concevoir des architectures réseau optimisées,1,1
483975,"Documenter les procédures de sécurité, ainsi que les incidents",1,1
505357,Diagnostiquer et résoudre les problèmes techniques du Cloud,1,1
493976,Développement de solutions informatiques,1,1
477660,Sécurité des systèmes d'information,1,1
402185,Participer à des projets de recherche et développement,1,1
405291,Faciliter l'intégration de solutions d'intelligence artificielle dans les projets existants,1,1
479840,Analyse de données client,3,1
300312,Mettre en place des solutions d'amélioration de la performance,7,3
482192,Optimiser les ressources pédagogiques disponibles,1,1
504177,Stimuler la participation étudiante en classe,1,1
113798,Programmation en Python,15,7
484402,Documenter les procédures techniques pour les utilisateurs,2,1
300426,Utiliser les outils numériques,2,2
404185,Convaincre en argumentant avec un ou plusieurs interlocuteurs,1,1
300586,Concevoir et développer une solution digitale,11,4
108816,Logique mathématique,1,1
300382,"Réaliser une étude de marché, évaluer le potentiel d'un produit ou service",3,1
300082,"Analyser, résoudre un problème courant ou complexe",2,2
113317,Développer une application en lien avec une base de données,4,2
300486,"Superviser des opérations, des actions",1,1
120325,Présenter les évolutions du système d'information au commanditaire,2,2
121719,Coder des données,4,1
403441,Effectuer un reporting régulier à la hiérarchie,2,1
107035,Spécificités d'un moteur essence,1,1
402142,"Etablir les préconisations et les recommandations d'utilisation, de mise en service, de démontage ou d'entretien",1,1
300411,Parler une ou plusieurs langues étrangères,2,1
484487,Assurer la sécurité des pipelines de CI/CD,7,1
125836,Régler des caméras,1,1
121983,Assister une structure dans l'interprétation et l'analyse d'une étude,2,1
121704,Analyse des risques financiers,1,1
121126,Progiciels de gestion intégrée d'entreprise (ERP),1,1
505180,Evaluer les risques associés aux clients et aux transactions,1,1
404136,"Licence pro mention métiers de l'informatique : conception, développement et test de logiciels",2,1
109779,Modélisation informatique,2,2
481937,Gestion de version de code,1,1
300450,Respecter la confidentialité des informations,1,1
501949,Planifier les mises à jour systèmes sans interruption de service,2,1
119405,Procédures de contrôle comptable,1,1
400659,Documenter les interventions et les anomalies rencontrées,1,1
126037,Suivre les évolutions réglementaires,1,1
300233,"Réaliser les travaux de montage, d'assemblage",1,1
106840,Configurer le poste de travail aux besoins de l'utilisateur,2,2
120501,Concevoir des modules de formation,1,1
300083,Elaborer une stratégie de résolution de problèmes,1,1
501701,Rédiger des rapports d'intervention détaillés,1,1
109763,Système d'exploitation Linux,3,1
125868,Google Analytics,1,1
300682,Travailler en réseau et coopérer avec des profils métiers diversifiés,1,1
507946,Analyser les besoins de sécurité informatique,1,1
300418,"Promouvoir une proposition, un projet",1,1
508633,Gérer les risques associés aux technologies d'IA,1,1
113312,"Optimiser des algorithmes, une application informatique et mettre en oeuvre leur développement",5,3
117218,Application des méthodes de machine learning dans BI,2,1
126535,Réaliser des études et développements informatiques,3,2
117691,Définir les solutions de stockage et de structuration des données,1,1
300428,Utiliser des logiciels spécifiques,1,1
116349,Déploiement de services cloud (cloud computing),8,3
300282,"Entretenir, nettoyer un espace, un lieu, un local",2,2
300587,Concevoir et maintenir un système de cybersécurité,3,2
116314,MySQL,3,1
405051,Concevoir un plan d'analyse statistique,1,1
115921,Big data Analytics,3,2
119245,Collaborer avec une équipe projet,9,1
505354,Configurer des serveurs pour des applications Cloud,1,1
300258,Contrôler la qualité et la conformité des process,2,1
400199,Analyser les besoins informatiques,10,4
100213,Matériel de levage,1,1
104547,Pneumatique,4,2
300195,"Concevoir un logiciel, un système d'informations, une application",10,2
109854,Systèmes d'exploitation informatique,2,2
118673,Maintenance préventive et curative de deuxième niveau,1,1
300202,"Déployer, intégrer un logiciel, un système d'informations, une application",5,2
486880,Analyser les besoins fonctionnels des utilisateurs,8,1
483974,Former les utilisateurs aux bonnes pratiques de sécurité informatique,1,1
400192,Optimiser les processus de qualité pour assurer la fiabilité des logiciels,5,1
300383,"Réaliser une veille de marché, une veille concurrentielle",3,1
300245,"Piloter une démarche qualité, un processus d'amélioration continue",3,2
503744,Identifier les opportunités d'automatisation des processus,3,1
300203,Gérer une base de données numériques,1,1
300196,"Concevoir l'architecture d'un système, d'un réseau",4,3
400553,"Déposer les appareils et tuyauteries obsolètes (changement, rénovation)",1,1
125901,Mettre en place des outils d'aide à la décision,1,1
503742,Développer des stratégies pour l'intégration des systèmes,2,1
484038,Promouvoir la collaboration entre les développeurs et les opérateurs pour une meilleure intégration,1,1
486361,Planifier des sessions de brainstorming pour l'innovation en données,2,1
503407,Faciliter l'adoption de nouvelles technologies,1,1
486523,Résoudre les problèmes techniques et bugs des sites,2,1
126530,Dépanner des équipements informatiques,1,1
108517,"Concevoir et préparer les cours, les travaux dirigés ou les travaux pratiques",1,1
108475,Développer une démarche pédagogique pour l'enseignement des savoirs fondamentaux,1,1
403421,Assurer le suivi des chiffres de vente et réaliser le reporting associé,1,1
300641,Piloter les fonctionnalités des équipements et systèmes de sécurité informatique,2,1
120803,Programmation logicielle,2,2
109797,Définir la stratégie des systèmes d'informations,2,1
503850,Argumenter pour obtenir des financements,1,1
104548,Informatique,1,1
104552,Régulation et instrumentation,1,1
100113,Logiciels de gestion de base de données,1,1
102788,HTML,3,3
100017,Règles de sécurité,1,1
120317,Assurer le suivi de la qualité des données,1,1
107034,Spécificités d'un moteur électrique,1,1
485223,Tester et valider les fonctionnalités du logiciel,2,1
404328,Assurer la maintenance préventive et les améliorations des infrastructures numériques,2,1
485122,Planifier les interventions en fonction des disponibilités des clients,1,1
109920,Restituer et mettre en forme les données géographiques pour l'édition cartographique,1,1
120327,Analyser des données techniques pour optimiser les processus,1,1
400298,Elaborer et mettre en oeuvre un plan de tests,3,1
485330,Assurer la formation des utilisateurs sur les nouveaux outils ou systèmes,2,1
482509,Communiquer efficacement par écrit les résultats des tests,1,1
508397,Collaborer avec des équipes internationales pour des projets de recherche,1,1
