numero_fiche,intitule_certification,nombre_offres,codes_rome_distincts,methode_correspondance,niveau_confiance
RNCP40350,Expert en ingénierie et développement de logiciels pour l'industrie,21,3,correspondance_officielle_france_competences,officiel
RNCP40736,Ingénieur diplômé de l’Institut supérieur de l’électronique et du numérique - JUNIA,24,3,correspondance_officielle_france_competences,officiel
RNCP40792,"Services informatiques aux organisations, Option A : « Solutions d’infrastructure, systèmes et réseaux » ; Option B : « Solutions logicielles et applications métiers »",25,3,correspondance_officielle_france_competences,officiel
RNCP40806,Mathématiques et informatique appliquées aux sciences humaines et sociales (fiche nationale) ,14,1,correspondance_officielle_france_competences,officiel
RNCP40822,"Ingénieur diplômé de l’Institut national des sciences appliquées Hauts-de-France, spécialité Informatique  Industrielle et Automatique ",30,4,correspondance_officielle_france_competences,officiel
RNCP41133,Concepteur développeur d’applications Full Stack,14,1,correspondance_officielle_france_competences,officiel
RNCP41330,Expert en développement logiciel ,14,1,correspondance_officielle_france_competences,officiel
RNCP41546,Métiers du multimédia et de l’Internet : Développement web et dispositifs interactifs,20,3,correspondance_officielle_france_competences,officiel
RNCP42057,Product builder no code/low code,25,3,correspondance_officielle_france_competences,officiel
RNCP42176,Développeur blockchain ,14,1,correspondance_officielle_france_competences,officiel
RNCP42287,Ingénieur diplômé de Télécom Saint-Étienne de l'Université Jean Monnet,25,3,correspondance_officielle_france_competences,officiel
RNCP42295,Ingénieur diplômé de l'institut national des sciences appliquées de Rennes - spécialité électronique,23,2,correspondance_officielle_france_competences,officiel
RNCP42296,Manager de la performance des organisations par la data,17,2,correspondance_officielle_france_competences,officiel
RNCP42304,Sciences et Ingénierie - Intelligence artificielle,14,1,correspondance_officielle_france_competences,officiel
RNCP42374,"Ingénieur diplômé de l'école nationale supérieure d'électronique, informatique, télécommunications, mathématique et mécanique de Bordeaux de l'institut polytechnique de Bordeaux, spécialité informatique",14,1,correspondance_officielle_france_competences,officiel
RNCP42425,Sciences et ingénierie - Informatique et intelligence artificielle,14,1,correspondance_officielle_france_competences,officiel
RNCP42707,"Ingénieur diplômé de l'Institut national des sciences appliquées de Toulouse, spécialité informatique et réseaux",34,4,correspondance_officielle_france_competences,officiel
RNCP35479,Mesures Physiques : Techniques d'instrumentation,9,1,correspondance_officielle_france_competences,officiel
RNCP35705,"Ingénieur diplômé de l’école polytechnique universitaire de l'université d'Angers, spécialité génie biologique et santé ",10,2,correspondance_officielle_france_competences,officiel
RNCP36057,Science de la durabilité (fiche nationale),9,1,correspondance_officielle_france_competences,officiel
RNCP37025,Sciences de la transition écologique et sociétale (fiche nationale),9,1,correspondance_officielle_france_competences,officiel
RNCP37026,Nutrition et sciences des aliments (fiche nationale),11,2,correspondance_officielle_france_competences,officiel
RNCP37249,Conduire les Transitions ,9,1,correspondance_officielle_france_competences,officiel
RNCP37572,Sciences et Ingénierie - Transformation Numérique des Entreprises ,16,3,correspondance_officielle_france_competences,officiel
RNCP37580,"Ingénieur diplômé de l'Ecole polytechnique universitaire de l'Université d'Aix-Marseille, spécialité ""Mécanique énergétique""",11,2,correspondance_officielle_france_competences,officiel
RNCP37591,"Ingénieur diplômé de l’université des Antilles, spécialité Energétique",11,2,correspondance_officielle_france_competences,officiel
RNCP37977,"Ingénieur diplômé de l'Institut national des sciences appliquées de Strasbourg, spécialité mécanique",12,3,correspondance_officielle_france_competences,officiel
RNCP38009,Directeur de projet en énergie (MS),9,1,correspondance_officielle_france_competences,officiel
RNCP38021,Éco-concepteur de produits plastiques et composites,10,2,correspondance_officielle_france_competences,officiel
RNCP38267,Assistant ingénieur biologie - Biochimie - Biotechnologies,10,2,correspondance_officielle_france_competences,officiel
RNCP38322,Ingénieur diplômé de l'école nationale supérieur Mines-Télécom Atlantique Bretagne Pays de la Loire de l'Institut Mines-Télécom,11,2,correspondance_officielle_france_competences,officiel
RNCP38373,ingénieur diplômé de l'école supérieure des agricultures d'Angers,9,1,correspondance_officielle_france_competences,officiel
RNCP38379,"Ingénieur diplômé de l'Ecole nationale supérieure des ingénieurs en arts chimiques et technologiques de l'Institut national polytechnique de Toulouse, spécialité chimie",11,2,correspondance_officielle_france_competences,officiel
