rome_code,competence_code,competence_libelle_rome,nombre_offres
H1206,124529,Déterminer des axes d'évolution technologiques,5
M1201,300383,"Réaliser une veille de marché, une veille concurrentielle",3
H1208,104540,"Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site",1
M1827,479261,Optimisation des processus DevOps,2
M1810,501949,Planifier les mises à jour systèmes sans interruption de service,2
M1810,484478,Développer des scripts pour automatiser les tâches,2
M1806,300196,"Concevoir l'architecture d'un système, d'un réseau",1
M1802,300495,Evaluer le résultat de ses actions,4
M1802,300488,Concevoir et gérer un projet,5
M1806,300202,"Déployer, intégrer un logiciel, un système d'informations, une application",3
M1405,300085,Conduire des travaux d'études et de recherche,5
M1811,120323,Modéliser une base de données,5
M1827,400192,Optimiser les processus de qualité pour assurer la fiabilité des logiciels,5
M1508,100541,"Techniques de communication orales, écrites et numériques",2
M1876,481843,Conformité et réglementations du cloud,1
H2605,122027,Définir l'implantation des éléments d'un équipement,1
M1805,109846,Concevoir une application web,11
M1851,400367,Analyser des données pour prendre des décisions stratégiques,3
M1841,300688,Application web,1
G1211,300426,Utiliser les outils numériques,1
M1834,300204,Administrer un système d'informations,1
M1855,109862,Architecture web,2
M1855,522155,Déployer le code de façon conteneurisée,2
M1855,486523,Résoudre les problèmes techniques et bugs des sites,2
M1811,113798,Programmation en Python,5
M1811,116349,Déploiement de services cloud (cloud computing),5
M1882,483974,Former les utilisateurs aux bonnes pratiques de sécurité informatique,1
M1882,486791,Implémenter des solutions de sécurité informatique,1
M1827,402275,Proposer des solutions innovantes pour résoudre des problèmes techniques,1
L1505,300114,Réaliser un montage son ou vidéo,1
M1818,113277,Méthode AGILE,1
I1616,105725,Connexion électrique,1
M1879,506481,Concevoir des architectures de solutions cloud,1
I1306,485420,Assurer la maintenance préventive de premier niveau des équipements,1
M1855,404783,Collaborer avec des équipes multidisciplinaires,2
M1855,121054,Réaliser les essais de fonctionnement,2
M1806,300469,"Préparer et animer une réunion, un groupe de travail, un atelier",3
M1827,109979,Surveiller le fonctionnement d'applicatifs et logiciels,2
M1806,503739,Assurer le support technique de niveau avancé,3
M1827,119415,Logiciel de supervision,2
M1102,117333,Attribuer un marché,1
M1818,110150,Anglais technique,1
I1616,300180,"Contrôler la conformité d'un équipement, d'une machine, d'une installation",1
M1852,300242,Déterminer des mesures correctives,3
H1218,300488,Concevoir et gérer un projet,1
M1895,109920,Restituer et mettre en forme les données géographiques pour l'édition cartographique,1
M1805,491028,"BTS services informatiques aux organisations option A : solutions d'infrastructure, systèmes et réseaux",1
M1872,300488,Concevoir et gérer un projet,1
H3302,300268,Conditionner des produits,1
M1806,109779,Modélisation informatique,1
M1841,300579,Communiquer auprès de ses interlocuteurs internes et externes,1
M1851,486360,Documenter les procédures d'analyse pour assurer la continuité,1
M1806,120347,Vérifier la conformité de fonctionnement et d'utilisation des systèmes d'information,1
M1811,400759,Intégrer des outils IA/Data Science,3
M1811,300202,"Déployer, intégrer un logiciel, un système d'informations, une application",2
I1306,402191,"Lire et interpréter des données et documents techniques, au besoin en anglais",1
G1211,405029,Certificat de capacité analyste de la performance,1
M1872,120327,Analyser des données techniques pour optimiser les processus,1
K2202,300241,"Evaluer la mise en œuvre d'un projet, d'un plan d'action",1
M1834,117024,Proposer des améliorations pour augmenter l'efficacité des systèmes,1
M1201,121704,Analyse des risques financiers,1
M1718,123393,Gérer les campagnes publicitaires digitales,3
H2605,103070,Lecture de plans et de schémas,1
M1806,490266,Etre en capacité de travailler en mode projets,1
M1855,113798,Programmation en Python,1
M1805,109794,Intelligence artificielle,1
M1873,482509,Communiquer efficacement par écrit les résultats des tests,1
M1419,501125,Concevoir des tableaux de bord pour le suivi des performances,2
M1880,402185,Participer à des projets de recherche et développement,1
H1101,126421,Effectuer le suivi technique des produits et leur évolution auprès des clients,1
M1201,121072,Anglais financier,1
F1117,118639,"Analyser les données d'une étude, d'un projet",1
M1806,405431,Accompagner et former un client sur l'applicatif métier ou l'interface utilisateur,3
M1818,300199,"Développer un logiciel, un système d'informations, une application",1
M1806,493976,Développement de solutions informatiques,1
M1853,300366,Recueillir et analyser les besoins client,2
M1405,102732,Langages de programmation informatique,1
M1884,483975,"Documenter les procédures de sécurité, ainsi que les incidents",1
M1874,400659,Documenter les interventions et les anomalies rencontrées,1
M1818,300586,Concevoir et développer une solution digitale,1
M1405,300458,"Structurer, synthétiser des informations",1
M1827,400759,Intégrer des outils IA/Data Science,5
M1811,403927,Collaborer dans un groupe pour réaliser un projet,5
M1810,300184,Apporter une assistance technique aux équipes,4
